MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,,,,,,,,,0,,0,CID5309823,CN1CCN(CCCNC(=O)c2cn(C)c3ccc(S(=O)(=O)N(C)C)cc3c2=O)CC1

,,,0,,,,,,,,,0,,0,,,CID5309822,O=C(Cn1ncc2c(=O)oc3ccccc3c21)NCCCN1CCCC1=O

,,0,,,0,,,,,,,,,,0,,CID5309821,CCn1c(=O)cc(OCC(=O)N2CCCC2)c2ccccc21

0,0,,,,,,,,,,,,,,,,CID5309827,CC1=C(C(=O)Nc2cc(-c3cccc(F)c3)[nH]n2)C2(CCCCC2)OC1=O

,0,,,,0,,,,,,,,,,,,CID5309826,CCOC(=O)N1CCC(NC(=O)CSCc2nc(-c3sccc3C)oc2C)CC1

,,0,0,,,,,,,,,,,,,,CID5498390,COC(=O)C1=C/C(=C2/C=Nc3ccccc32)NN1

,,,0,,,,,,,,,0,,,,,CID5309824,CC1=C(C(=O)Nc2cccnc2)C(c2ccc(C(C)C)cc2)N2NC=NC2=N1

0,,,0,,,0,,,,,,0,,,,,CID5309829,CCCc1cc(C(=O)Nc2sc3c(c2C(=O)OCC)CCCC3)no1

,0,,,,,0,0,,,,,,,,,,CID5309828,Cc1cccc2sc(NC(=O)Cn3cccc3)nc12

,,,,,,,,,,,0,,,0,,,CID2175198,Cc1cccc(Oc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1C

,,,,,,,,,0,,,,0,,,,CID713301,CCCc1nn(-c2cc(Cl)ccc2OC)c2c1C(=O)CCC2

,,,,,,,,0,0,,,,,,,,CID811700,CCC(=O)c1ccc(OC(=O)c2cccs2)cc1

,,,,,,,,,,,,,,0,,,CID1120458,CC1=C(C#N)C(=O)NC(=O)/C1=C\c1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1

,,,,,0,,,,,0,0,,,,,,CID655763,Cc1cc(C)c(NC(=O)CS(=O)CC(=O)N2CCN(c3ccccc3)CC2)c(C)c1

,,,,,,,,0,,,,,,,,,CID5916800,COc1ccc(/C=C/C(=O)CC(O)(c2ccccc2)C(F)(F)F)cc1

,0,,,0,,0,0,,,,,,,,0,,CID665718,c1ccc(-c2nn3c(-c4ccco4)nnc3s2)nc1

,,0,,,,0,,0,,,,0,,,,,CID665719,COc1ccc(CCn2c(N3CCN(Cc4ccccc4)CC3)nc3c2c(=O)[nH]c(=O)n3C)cc1

,0,,,,,0,,,,,,,,,,0,CID665712,O=C(NCCc1ccccc1F)C1CSC2c3ccccc3C(=O)N12

0,0,,,0,,,0,,,,,,,,0,,CID665713,COc1ccc(OCc2nn3c(-c4ccccn4)nnc3s2)cc1

0,,,,,,,,,,,,,,,,0,CID665710,O=C1c2oc3ccc(Cl)cc3c(=O)c2C(c2cccc(Br)c2)N1CCO

,,,,,,,,0,0,0,,0,,,,0,CID665711,CC1CC(=O)c2cnc(NCc3ccco3)nc2C1

,,,,,,,,,,,,,0,,,,CID2326654,C=CCNC(=S)Nc1ccc(Br)cc1F

,0,,,0,,,,,,0,,0,,,,,CID665715,Cc1cc(-c2nnc3sc(C4CCCCC4)nn23)n[nH]1

0,,,0,,,,,,0,0,,,,,,,CID780382,COc1ccc(NC2=Nc3ccccc3CC2)cc1

,,,,,,,,,,,0,,,,,,CID780385,c1ccc(NC2=Nc3ccccc3CC2)cc1

,,,,,,,,,0,,,,0,,,,CID1213228,Cc1ccc(S(=O)(=O)Nc2ccc(S(=O)(=O)NC(C)(C)C)cc2)cc1

0,,,0,,0,0,0,,,,0,,,,0,,CID780389,O/N=C1C(=C\c2ccccc2)/N2CCC/1CC2

,,,,0,,,0,,,,,,,,,0,CID545033,COC(=O)C(F)(Sc1c(C)n(C)n(-c2ccccc2)c1=O)C(F)(F)F

,,,,,0,,,,,,,,,,,,CID675947,Cc1c(NC(=O)COc2ccc3ccccc3c2)cccc1[N+](=O)[O-]

,,,,,0,,,,,,,,,,,,CID675944,O=C(COc1ccc(Cl)cc1)Nc1cc([N+](=O)[O-])ccc1F

0,0,,,0,0,0,,,,0,,,,,,,CID663710,COCCCNc1nc2ccccc2nc1NS(=O)(=O)c1cccs1

,,,0,,,,,,0,,,0,,0,,,CID663712,COC(=O)C(NC(=O)Nc1ccccc1F)C(C)C

,,,,,,,,0,,,,,,0,0,0,CID663713,Cc1cccc2cc(COC(=O)c3ccco3)c(=O)[nH]c12

0,,0,,,,0,0,,0,,0,0,,,,,CID663715,COc1cccc(N2CCN(C3OC(=O)c4ccccc43)CC2)c1

,0,0,,,,,,,,,0,,,,,,CID663717,CCOCCCn1cnc2c(c1=O)c1nc3ccccc3nc1n2-c1ccc(C)cc1

0,,,0,,,,,,,,0,,,,,,CID663719,COc1ccc(OC)c(NC(=O)NC(Cc2ccccc2)C(=O)O)c1

,,,,,,,,0,,,0,,0,,,,CID963517,O=C(O)c1cccc(CSc2nnc(-c3ccco3)o2)c1

,,,,,0,,,,,,,,0,,,,CID2216436,O=c1c2ccccc2ncn1CCCOc1ccccc1[N+](=O)[O-]

,,,0,0,,,,,,,,,,,0,,CID2216430,O=C(CSCc1nc(=O)[nH][nH]1)NCCOc1cccc(Oc2ccccc2)c1

,,,0,,,,,,,,,,0,,0,,CID2216431,OCc1ccccc1OCCOc1ccc(Cl)c2cccnc12

,,,,,,,,,,,,,0,,,,CID649467,CCCOc1ccc(N2CC(C(=O)Nc3ccccc3F)CC2=O)cc1

,,,,,,,,,0,,,,,,,,CID2491904,O=C(CSc1nncn1-c1ccccc1)NCc1cccs1

,,,,,0,,,0,,,,,,,,,CID3225382,O=C(Nc1ccc2c(c1)OCCO2)c1cc2sccc2n1Cc1ccc(F)cc1

,,,,,,,,0,,,,,,,,,CID1046746,CCC(=O)NC(Nc1sc2c(c1C(=O)OC)CCN(C)C2)(C(F)(F)F)C(F)(F)F

,,,,0,,,,,,,0,,,,,,CID1632800,C=CCn1c(CSc2nc3ccccc3s2)nnc1SCC(=O)NCc1ccco1

,,,,,,,,,,,,,0,,,,CID1632802,O=C(NCCCO)c1ccc(CSc2nc3ccccc3[nH]2)cc1

0,,,,,,,,0,,,0,,,,,0,CID790290,O=C(Nc1cccc2ccccc12)c1ccc(Br)o1

,0,,0,,,0,,0,,,,,,,0,,CID853774,COc1cccc(NC(=O)N2CCOCC2)c1

,,,,,0,,,,,,,,0,,,,CID2884221,O=C(Nc1ccc([N+](=O)[O-])cc1)C1C(c2ccccc2)=C1c1ccccc1

0,,0,0,,,,0,,0,,0,,,,,,CID649924,O=C(NC12CC3CC(CC(C3)C1)C2)N1CCC(O)(c2ccc3c(c2)OCO3)CC1

,,,,,,,,,,,,,,0,,,CID5410778,CC1=CC(=O)/C(=C(\C)NNC(=O)c2ccccc2[N+](=O)[O-])C(=O)O1

,,,,,,,,,,,,,,0,,,CID4918698,CCOc1ccc(NC(=O)CC2C(=O)N(c3ccccc3)C(=S)N2Cc2ccccn2)cc1

,,,,,,,,,,,,,0,,,,CID2616165,Cc1ccc(C)c(SCC(=O)Nc2cccnc2Cl)c1

,,,,,0,,,,,,,,,,,,CID5094345,C=CCOC(=O)C1=C(C)NC(SC)=C(C#N)C1c1cccs1

,,,,,0,0,,,,,,,,,0,,CID880264,CC(C)CC(=O)Nc1ccc(OCC(=O)O)cc1

,,,,,,,,,,0,,,,,,,CID1480495,N#Cc1c(-c2ccccc2)nc(-c2ccccc2)nc1N1CCOCC1

,,,,,,,,,,,0,,0,,,,CID1480496,CNc1nc(-c2ccccc2)nc(-c2ccccc2)c1C#N

,,,,,,,,,,0,,,,,,,CID1451400,CCN(CC)C(=O)CSc1nnc(C2CCCCC2)o1

,,,0,0,,0,0,0,,,,,,,,,CID976732,COC(=O)COc1cccc(NC(=O)c2cccs2)c1

,,,,,,,,,,,,,,0,,,CID1338433,CCOc1ccc(C(=O)NC(=S)Nc2ccc(N3CCOCC3)c(Cl)c2)cc1[N+](=O)[O-]

,,,,,0,,0,,,,,,,,,,CID1218121,Cc1c(/N=C/C=C2\N(C)c3ccccc3C2(C)C)c(=O)n(-c2ccccc2)n1C

0,,,,,,0,,,,,,,0,,,,CID779196,O=C(O)c1ccc(Br)c(S(=O)(=O)N2CCCC2)c1

,0,0,0,,,,,0,,,,0,,,,,CID2057828,CCCCOc1ccc(-c2ncc(C(=O)OCC)c(N)n2)cc1

,,,,,,,,,,,,0,,,0,,CID1365020,COc1ccccc1N1CCN(CCc2n[nH]c(=S)n2-c2ccccc2)CC1

,,0,,,,,0,,,,,,,,,,CID2929660,COc1ccc(CC(=O)N2CC3(C)CC2CC(C)(C)C3)cc1OC

,,,,,,,,,0,,,,,,,,CID1101215,CCCS(=O)(=O)c1c(S(=O)(=O)CCC)c2c(C)cccn2c1C(N)=O

0,,,,0,,0,,,,,,,,,,0,CID993261,Cc1cc(NC(=O)CSc2nc(-c3ccco3)cc(C(F)(F)F)n2)n(-c2ccccc2)n1

,,,,0,,,,,,,,,,,,,CID3240429,COc1ccc(Nc2ncc(C(=O)N3CCC4(CC3)OCCO4)c3ccccc23)cc1

0,0,,,,,,,,,,,,,,,,CID1257401,O=C(Nc1cccnc1)c1cnn2c(C(F)F)cc(C3CC3)nc12

,,,,,,0,,,0,,,,,,,0,CID3240428,Cn1c(C(=O)O)c(CC(=O)Nc2ccccc2F)c2ccccc21

,,,,,,,,,0,,,,,0,,0,CID2933378,CCOc1ccc(NC(=O)C2CC(C)=C(C)CC2C(=O)O)cc1

,,,0,,,,0,,,,,,,,,,CID2933372,Cc1c(NC(=O)C2CC=CCC2C(=O)O)c(=O)n(-c2ccccc2)n1C

,,,,,,,,,0,,,,,,,,CID2933370,O=C(c1ccccc1C(=O)N1CCN(c2ccccc2F)CC1)N1CCN(c2ccccc2F)CC1

,,,,,,,,,,,,,0,,,,CID573993,O=C(Nc1nonc1NC(=O)c1cccs1)c1cccs1

,,,,0,0,,0,,,,,,,,,,CID3240425,CCOc1ccccc1OCCCCCc1c(C)n[nH]c1C

0,,0,,,,,,,,,,,,,,,CID4444351,CCOC(=O)CSC(C)C(=O)Nc1nnc(C(C)C)s1

,,,,,0,,,,,,,,,,,,CID915729,COc1ccc2c(c1)c(C(=O)CN1CCC(C(N)=O)CC1)c(C)n2C

,0,0,0,0,,,,,,0,,0,,,,,CID2084566,c1ccc(-c2nnc(CSc3nnc(-c4cccs4)o3)o2)cc1

,,,,0,0,,0,,0,,,,,,,,CID3240424,CCOC(=O)CSc1nc2ccccc2c(=O)n1CC1COc2ccccc2O1

,,,,,0,,,,,,,,0,,,,CID1474985,O=C1CCCc2ccccc2N1Cc1cccc(Cl)c1

,,,,0,,,,,,,,,,,0,,CID3240427,CCN(CC)S(=O)(=O)c1ccc(C(=O)Nc2c3c(nn2C(C)(C)C)CS(=O)(=O)C3)cc1

,,,,,,,,,,,,,0,,,,CID728319,CN1CCN(c2cn[nH]c(=O)c2Cl)CC1

,0,,,,,,0,,0,,,,,,0,,CID2109903,CC(C)c1nc(SCC(=O)NCc2ccccc2)n[nH]1

,,,,,,,,,,0,,,,,,,CID4679772,CC(NC(=O)c1ccccc1F)C(=O)O

,,,,0,,,,,,,,,0,,,,CID647730,Cc1ccc(S(=O)(=O)c2nc(NC3CCS(=O)(=O)C3)sc2Cl)cc1

,,,,,,,,,,,,,,0,,,CID2867472,O=C1C=C(NCCN2CCOCC2)CC(c2ccccc2)C1

,,,0,0,,,0,,0,,0,0,0,,,0,CID251641,CCOC(=O)c1cnc(SCc2ccccc2)nc1N

,,,,,,,0,0,,,,,,,,,CID3240420,CCOC(=O)C1CCN(C(=O)Nc2ccc(NC(=O)C3CCN(C(=O)OCC)CC3)cc2)CC1

,,,,,,,,,,,0,,,,,,CID3579545,CCn1c2ccccc2c2cc(NC(=O)C(C)Oc3ccccc3)ccc21

,,,,,0,,,,,,,,,,,,CID5204024,O=C(CCC(=O)N1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1)NC1CCCc2ccccc21

0,,,,,,0,,,0,0,,,,,0,,CID647732,Cc1cc(C)c(NC(=O)CSc2nnc(-c3ccncc3)n2Cc2ccco2)c(C)c1

,,,,,,,,0,,,,,,,,,CID3238733,Clc1ccc(Cl)c2sc(N3CCCC3)nc12

0,,,,0,,,0,,,0,,,,,,,CID647733,CCC(OC(=O)c1cc2sccc2n1C)C(=O)NCc1ccco1

,,,,,,,,,0,0,,,,,,,CID837247,CC(C)C(=O)Nc1ccc(C(=O)c2ccccc2)cc1

,,,,,,,,,0,,,,,,,,CID3238731,COc1ccc2c(c1)C1CC(C)(NC(=O)C1C(=O)c1ccccc1)O2

,,,,,,,,,,,,,,0,,,CID2181873,CCOc1ccc(OCCCN(C)C)cc1

,0,,,,,,,,,,,,,,,,CID3238736,Clc1cccc2sc(N3CCCC3)nc12

,,,,,0,,,,,,,,,,,,CID3772753,CCOC(=O)c1c(-c2ccc(Cl)cc2)cn2ccccc12

,,,,,,,,,,,,,0,,,,CID6619960,CCc1ccc(NC(=O)Cn2cccc2)cc1

,,,,,,,,,,,0,,,,,,CID6619966,CCOC(=O)N1CCC(NC(=O)c2ccc3c(c2)N(Cc2ccc(C)cc2)CCS3)CC1

0,,,,,,0,,,,,,,,,,,CID2106461,CN1CCCN(C(=O)Cc2c(Cl)cccc2Cl)c2nc3ccccc3nc21

0,,0,,,,,,,,,,,,,0,0,CID3238737,O=C(NCCN1CCOCC1)C1CCC(=O)N1Cc1ccccc1Cl

,,,,,,,,,,,,,0,0,,,CID891902,CCn1ccc(C(=O)NC2=C(C#N)CCC2)n1

,0,,,,,,0,0,,,,,,,0,,CID891903,O=C(CNS(=O)(=O)c1ccccc1)NCc1ccccn1

,,,,,,,,,,,,,,,0,,CID3245275,CCCCC(=O)N(c1ccc(OCC)cc1)C1C=CS(=O)(=O)C1

,,0,0,,,,,,,,,,,,0,,CID3245274,Cc1cc(=O)n2nc(N3CCCC3C(=O)NCCCN3CC(C)CC(C)C3)sc2n1

,,,,,0,,,,,0,,,,,,,CID3658297,CC1(C)CC(=O)C2=C(C1)N(c1ccc(F)cc1)C(=O)CC2c1ccsc1

0,,0,,,0,,,,,,,0,,,,,CID3245272,COc1ccccc1CNC(=O)C1CCN(Cc2nc(-c3cccc(Cl)c3)oc2C)CC1

,,,0,0,,,,,,,,0,,,,,CID3245271,CCC(=O)N1CCCc2cc(S(=O)(=O)NCc3cccs3)ccc21

,,,,,,,,,,,,0,,,,,CID3245279,CCOC(=O)Cn1nc(-c2ccc(C)cc2)ccc1=O

,,,,,0,0,,,,,,,,,,,CID2182781,CCOc1ccc(OCCCCN(C)C)cc1

0,,,0,,,,,,0,,0,,,,,,CID666670,Cn1c(CCNC(=O)c2ccccc2)nc2cc(NC(=O)c3ccco3)ccc21

,0,,0,0,,,,,0,,,,,,0,,CID666671,NC(Cc1ccccc1)c1nnc2sc(SCc3ccccc3)nn12

,,0,,,,,,,,,,,,,,,CID666672,O=c1oc2cc(OCc3nn[nH]n3)ccc2c2c1CCCC2

0,,,,,0,,,,,,,,,,,0,CID666673,N#CC1=C2SCN(Cc3ccco3)CN2C(=O)CC1c1cccc2ccccc12

0,,0,0,,,,0,,,,,,,0,,,CID666674,CCOc1cc(-c2noc(-c3cccnc3)n2)ccc1OC

,0,0,,0,0,,,0,,,,0,,,,,CID666675,CC(=O)N(Cc1cccnc1)Cc1cc2ccc(C)cc2[nH]c1=O

0,0,,,0,,,,,,,0,,,,,0,CID666676,COc1ccccc1-c1nn2c(C(F)(F)F)nnc2s1

,,,0,,,,0,,,,,,,,,,CID666677,CC(=O)c1cnc2nc(C)nn2c1C

,0,0,,,0,,0,,,,,0,,,,0,CID666678,CCCc1nc2oc3c(NCCN4CCOCC4)ncnc3c2c2c1CCCC2

